Id,Region,Name,Name_EN,Category,Url
48,małopolskie,Akademia Sztuk Pięknych im. Jana Matejki,Academy of Fine Arts in Kraków,Public,http://www.asp.krakow.pl/
49,małopolskie,Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie,AST National Academy of Theatre Arts in Kraków,Public,http://www.ast.krakow.pl/
50,małopolskie,Małopolska Uczelnia Państwowa im. rotmistrza Witolda Pileckiego w Oświęcimiu,Malopolska State University named after Captain Witold Pilecki in Oswiecim,Public,https://www.uczelniaoswiecim.edu.pl/
51,małopolskie,Akademia Nauk Stosowanych w Nowym Sączu,State University of Applied Sciences in Nowy Sacz,Public,http://www.pwsz-ns.edu.pl/
52,małopolskie,Akademia Nauk Stosowanych w Tarnowie,University of Applied Sciences in Tarnow,Public,https://anstar.edu.pl/
53,małopolskie,Podhalańska Państwowa Wyższa Szkoła Zawodowa w Nowym Targu,Podhale State Vocational University in Nowy Targ,Public,https://ppuz.edu.pl/
54,mazowieckie,Uniwersytet Warszawski,University of Warsaw,Public,http://www.uw.edu.pl/
55,mazowieckie,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Cardinal Stefan Wyszyński University in Warsaw,Public,http://www.uksw.edu.pl/
56,mazowieckie,Politechnika Warszawska,Warsaw University of Technology,Public,http://www.pw.edu.pl/
57,mazowieckie,Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu,Kazimierz Pulaski University of Technology and Humanities in Radom,Public,http://www.pr.radom.pl/
58,mazowieckie,Szkoła Główna Handlowa w Warszawie,SGH Warsaw School of Economics,Public,http://www.sgh.waw.pl/
59,mazowieckie,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej (Warszawa),The Maria Grzegorzewska University,Public,http://www.aps.edu.pl/
60,mazowieckie,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,Siedlce University of Natural Sciences and Humanities,Public,http://www.uph.edu.pl/
61,mazowieckie,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,Warsaw University of Life Sciences,Public,http://www.sggw.waw.pl/
62,mazowieckie,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,Józef Piłsudski University of Physical Education in Warsaw,Public,http://www.awf.edu.pl/
63,mazowieckie,Chrześcijańska Akademia Teologiczna w Warszawie,Christian Theological Academy in Warsaw,Public,http://www.chat.edu.pl/
64,mazowieckie,Papieski Wydział Teologiczny w Warszawie,Pontifical Faculty of Theology in Warsaw,Public,http://www.pwtw.pl/
65,mazowieckie,Warszawski Uniwersytet Medyczny,Medical University of Warsaw,Public,https://www.wum.edu.pl/
66,mazowieckie,Uniwersytet Muzyczny Fryderyka Chopina,The Frederic Chopin University of Music,Public,http://www.chopin.edu.pl/
67,mazowieckie,Akademia Sztuk Pięknych w Warszawie,Academy of Fine Arts in Warsaw,Public,http://www.asp.waw.pl/
68,mazowieckie,Akademia Teatralna im. Aleksandra Zelwerowicza,The Aleksander Zelwerowicz National Academy of Dramatic Art in Warsaw,Public,http://www.at.edu.pl/
69,mazowieckie,Akademia Sztuki Wojennej,The War Studies University ,Public,https://www.wojsko-polskie.pl/aszwoj/
70,mazowieckie,Wojskowa Akademia Techniczna,Military University of Technology,Public,https://www.wojsko-polskie.pl/wat/
71,mazowieckie,Akademia Mazowiecka w Płocku,The Mazovian Academy in Płock,Public,https://mazowiecka.edu.pl/
72,mazowieckie,Państwowa Uczelnia Zawodowa im. Ignacego Mościckiego w Ciechanowie,State Higher Vocational School in Ciechanów,Public,https://puzim.edu.pl/
73,opolskie,Uniwersytet Opolski,University of Opole,Public,http://www.uni.opole.pl/
74,opolskie,Politechnika Opolska,Opole University of Technology,Public,http://www.po.opole.pl/
75,opolskie,Państwowa Akademia Nauk Stosowanych w Nysie,The State Academy of Applied Sciences in Nysa,Public,https://pans.nysa.pl/
76,podkarpackie,Uniwersytet Rzeszowski,University of Rzeszów,Public,http://ur.edu.pl/
77,podkarpackie,Politechnika Rzeszowska im. Ignacego Łukasiewicza,Ignacy Łukasiewicz Rzeszow University of Technology,Public,https://w.prz.edu.pl/
78,podkarpackie,Państwowa Uczelnia Zawodowa im. prof. Stanisława Tarnowskiego w Tarnobrzegu,State Higher Vocational School Memorial of Prof. Stanislaw Tarnowski in Tarnobrzeg,Public,https://puz.tarnobrzeg.pl/
79,podkarpackie,Karpacka Państwowa Uczelnia w Krośnie,Carpathian State College in Krosno,Public,https://kpu.krosno.pl/
80,podkarpackie,Państwowa Wyższa Szkoła Techniczno-Ekonomiczna im. ks. Bronisława Markiewicza w Jarosławiu,State Higher School of Technology and Economics in Jaroslaw,Public,https://www.pwste.edu.pl/
81,podkarpackie,Państwowa Akademia Nauk Stosowanych w Przemyślu,The State Academy of Applied Sciences in Przemyśl,Public,https://pwsw.pl/pl/
82,podkarpackie,Uczelnia Państwowa im. Jana Grodka w Sanoku,Jan Grodek State University in Sanok,Public,https://up-sanok.edu.pl/
83,podlaskie,Uniwersytet w Białymstoku,University of Białystok,Public,http://www.uwb.edu.pl/
84,podlaskie,Politechnika Białostocka,Bialystok University of Technology,Public,https://pb.edu.pl/kandydaci/
85,podlaskie,Uniwersytet Medyczny w Białymstoku,Medical University of Bialystok,Public,https://www.umb.edu.pl/
86,podlaskie,Państwowa Uczelnia Zawodowa im. prof. Edwarda F. Szczepanika w Suwałkach,State Higher Vocational School in Suwałki,Public,https://www.puz.suwalki.pl/
87,podlaskie,Akademia Nauk Stosowanych w Łomży,Lomza State University of Applied Sciences,Public,https://ansl.edu.pl/
88,pomorskie,Uniwersytet Gdański,University of Gdańsk,Public,http://www.univ.gda.pl/
89,pomorskie,Politechnika Gdańska,Gdańsk University of Technology,Public,http://www.pg.gda.pl/
90,pomorskie,Akademia Pomorska w Słupsku,Pomeranian University in Slupsk,Public,http://www.apsl.edu.pl/
91,pomorskie,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku,Gdansk University of Physical Education and Sport,Public,http://www.awf.gda.pl/
92,pomorskie,Gdański Uniwersytet Medyczny,Medical University of Gdańsk,Public,https://gumed.edu.pl/
93,pomorskie,Akademia Muzyczna im. Stanisława Moniuszki,Stanisław Moniuszko Academy of Music in Gdańsk,Public,http://www.amuz.gda.pl/
94,pomorskie,Akademia Sztuk Pięknych w Gdańsku,Academy of Fine Arts in Gdańsk,Public,http://www.asp.gda.pl/
95,pomorskie,Akademia Marynarki Wojennej,Polish Naval Academy,Public,https://www.amw.gdynia.pl/
96,śląskie,Uniwersytet Śląski w Katowicach,University of Silesia in Katowice,Public,http://www.us.edu.pl/
97,śląskie,Akademia Techniczno-Humanistyczna w Bielsku -Białej,ATH University of Bielsko-Biala,Public,http://www.ath.bielsko.pl/
98,śląskie,Politechnika Częstochowska,Czestochowa University of Technology,Public,http://www.pcz.pl/
99,śląskie,Politechnika Śląska,Silesian University of Technology,Public,http://www.polsl.pl/
100,śląskie,Uniwersytet Ekonomiczny w Katowicach,University of Economics in Katowice,Public,https://www.ue.katowice.pl/
101,śląskie,Uniwersytet Humanistyczno-Przyrodniczy im. Jana Długosza w Częstochowie,Jan Dlugosz University in Czestochowa,Public,http://www.ujd.edu.pl/
102,śląskie,Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach,Academy of Physical Education in Katowice,Public,http://www.awf.katowice.pl/
103,śląskie,Śląski Uniwersytet Medyczny,Medical University of Silesia,Public,https://sum.edu.pl/
104,śląskie,Akademia Muzyczna im. Karola Szymanowskiego,The Karol Szymanowski Academy of Music in Katowice,Public,http://www.am.katowice.pl/
105,śląskie,Akademia Sztuk Pięknych w Katowicach,Academy of Fine Arts in Katowice,Public,http://www.asp.katowice.pl/
106,śląskie,Akademia Nauk Stosowanych w Raciborzu,The State Academy of Applied Sciences in Racibórz,Public,https://akademiarac.edu.pl/
107,świętokrzyskie,Uniwersytet Jana Kochanowskiego w Kielcach,Jan Kochanowski University of Kielce,Public,http://www.pu.kielce.pl/
108,świętokrzyskie,Politechnika Świętokrzyska w Kielcach,Kielce University of Technology,Public,http://www.tu.kielce.pl/
109,świętokrzyskie,Instytut Teologiczny im. Bł. Wincentego Kadłubka w Sandomierzu,Wincenty Kadłubek Theological Institute in Sandomierz,Public,http://www.instteol.sandomierz.opoka.org.pl/
110,warmińsko-mazurskie,Uniwersytet Warmińsko-Mazurski w Olsztynie,University of Warmia and Mazury in Olsztyn,Public,http://www.uwm.edu.pl/
111,warmińsko-mazurskie,Akademia Nauk Stosowanych w Elblągu,The State Academy of Applied Sciences in Elbląg,Public,https://ans-elblag.pl/
112,wielkopolskie,Uniwersytet im. Adama Mickiewicza w Poznaniu,Adam Mickiewicz University Poznań,Public,http://www.amu.edu.pl/
113,wielkopolskie,Politechnika Poznańska,Poznań University of Technology,Public,http://www.put.poznan.pl/
114,wielkopolskie,Uniwersytet Ekonomiczny w Poznaniu,Poznań University of Economics and Business,Public,http://ue.poznan.pl/pl/
115,wielkopolskie,Uniwersytet Przyrodniczy w Poznaniu,Poznań University of Life Sciences,Public,https://puls.edu.pl/
116,wielkopolskie,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,Poznan University of Physical Education,Public,http://www.awf.poznan.pl/
117,wielkopolskie,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Poznan University of Medical Sciences,Public,https://www.ump.edu.pl/
118,wielkopolskie,Akademia Muzyczna im. Ignacego Jana Paderewskiego,The Ignacy Jan Paderewski Academy of Music in Poznań,Public,http://www.amuz.edu.pl/
119,wielkopolskie,Uniwersytet Artystyczny w Poznaniu im. Magdaleny Abakanowicz,University of the Arts Poznan,Public,http://www.uap.edu.pl/
120,wielkopolskie,Akademia Nauk Stosowanych im. Stanisława Staszica w Pile,The State Academy of Applied Sciences in Piła,Public,https://ans.pila.pl/
121,wielkopolskie,Akademia Nauk Stosowanych im. Hipolita Cegielskiego w Gnieźnie Uczelnia Państwowa,The State Academy of Applied Sciences in Gniezno,Public,https://ans-gniezno.edu.pl/
122,wielkopolskie,Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego,The President Stanislaw Wojciechowski Calisia University,Public,https://akademia.kalisz.pl/
123,wielkopolskie,Akademia Nauk Stosowanych w Koninie,The State Academy of Applied Sciences in Konin,Public,https://www.ans.konin.pl/
124,wielkopolskie,Akademia Nauk Stosowanych im. Jana Amosa Komeńskiego w Lesznie,The State Academy of Applied Sciences in Leszno,Public,https://www.ansleszno.pl/
125,zachodniopomorskie,Uniwersytet Szczeciński,University of Szczecin,Public,http://www.univ.szczecin.pl/
126,zachodniopomorskie,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,West Pomeranian University of Technology in Szczecin,Public,http://www.zut.edu.pl/
127,zachodniopomorskie,Politechnika Koszalińska,Koszalin University of Technology,Public,http://www.tu.koszalin.pl/
128,zachodniopomorskie,Pomorski Uniwersytet Medyczny w Szczecinie,Pomeranian Medical University in Szczecin,Public,https://www.pum.edu.pl/
129,zachodniopomorskie,Akademia Sztuki w Szczecinie,The Academy of Art in Szczecin,Public,http://www.akademiasztuki.eu/
130,zachodniopomorskie,Państwowa Wyższa Szkoła Zawodowa w Koszalinie,State University of Applied Sciences in Koszalin,Public,https://www.pwsz-koszalin.pl/
131,zachodniopomorskie,Akademia Nauk Stosowanych w Wałczu,The State Academy of Applied Sciences in Wałcz,Public,https://www.pwsz.eu/
132,dolnośląskie,Wyższa Szkoła Zarządzania i Przedsiębiorczości z siedzibą w Wałbrzychu,Higher School of Management and Entrepreneurship in Walbrzych,Private,https://wwszip.pl/
133,dolnośląskie,Wrocławska Akademia Biznesu w Naukach Stosowanych,Wroclaw Business University of Applied Sciences,Private,https://wab.edu.pl/
134,dolnośląskie,Dolnośląska Szkoła Wyższa z siedzibą we Wrocławiu,University of Lower Silesia,Private,https://www.dsw.edu.pl/
135,dolnośląskie,"Wyższa Szkoła Zarządzania ""Edukacja"" we Wrocławiu","Higher School of Management ""Education"" in Wroclaw",Private,https://wszedukacja.pl/
136,dolnośląskie,Wyższa Szkoła Bankowa we Wrocławiu,WSB University in Wrocław,Private,https://www.wsb.pl/
137,dolnośląskie,Wyższa Szkoła Fizjoterapii we Wrocławiu,Higher School of Physiotherapy in Wroclaw,Private,https://www.wsf.wroc.pl/
138,dolnośląskie,Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu,The International University of Logistics and Transport in Wrocław,Private,https://www.mwsl.eu/
139,dolnośląskie,Wyższa Szkoła Kształcenia Zawodowego,Higher School of Vocational Education,Private,https://studia-online.pl/
140,dolnośląskie,"Wyższa Szkoła Informatyki i Zarządzania ""COPERNICUS"" we Wrocławiu",Copernicus Higher School of Information Technology and Management in Wroclaw,Private,https://www.wsiz.wroc.pl/
141,dolnośląskie,Uczelnia Jana Wyżykowskiego,Jan Wyzykowski University,Private,https://ujw.pl/
142,dolnośląskie,Wyższa Szkoła Humanistyczna we Wrocławiu,Higher School of Humanities in Wroclaw,Private,https://humanistyczna.pl/?lang=pl
143,dolnośląskie,Szkoła Wyższa Rzemiosł Artystycznych i Zarządzania we Wrocławiu,Higher School of Arts and Management in Wroclaw,Private,https://swraiz.pl/
144,dolnośląskie,Wyższa Szkoła Medyczna w Legnicy z siedzibą w Legnicy,Medical University of Legnica in Legnica,Private,https://www.wsmlegnica.pl/
145,dolnośląskie,Akademia Nauk Stosowanych we Wrocławiu,The State Academy of Applied Sciences in Wrocław,Private,https://naukistosowane.edu.pl/
146,dolnośląskie,Wrocławska Wyższa Szkoła Informatyki Stosowanej we Wrocławiu,Wroclaw Higher School of Applied Informatics in Wroclaw,Private,https://horyzont.eu/
147,dolnośląskie,Ewangelikalna Wyższa Szkoła Teologiczna,Evangelical Theological Seminary,Private,https://ewst.pl/
148,dolnośląskie,Niepubliczna Wyższa Szkoła Medyczna we Wrocławiu,Non-Public Medical University in Wroclaw,Private,https://www.nwsm.pl/
149,dolnośląskie,Wyższa Szkoła Sportu,School of Sports Science,Private,https://wszic.pl/
150,dolnośląskie,Wyższa Szkoła Prawa we Wrocławiu,Law University in Wroclaw,Private,https://www.prawowroclaw.edu.pl/
151,dolnośląskie,Wyższa Szkoła Medyczna w Kłodzku,Medical University in Kłodzko,Private,https://wsm.klodzko.pl/
152,dolnośląskie,Collegium Humanum - Szkoła Główna Menedżerska,Collegium Humanum - University of Management,Private,https://humanum.pl/
153,kujawsko-pomorskie,Kujawska Szkoła Wyższa we Włocławku,Kujawy Higher School in Wloclawek,Private,https://ksw.wloclawek.pl/
154,kujawsko-pomorskie,Wyższa Szkoła Bankowa w Toruniu,WSB University in Toruń,Private,https://www.wsb.pl/
155,kujawsko-pomorskie,Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy,Kujawy and Pomerania University in Bydgoszcz,Private,https://kpsw.edu.pl/
156,kujawsko-pomorskie,Akademia Kultury Społecznej i Medialnej w Toruniu - Akademia Nauk Stosowanych,The State Academy of Applied Sciences in Toruń,Private,https://wsksim.edu.pl/
157,kujawsko-pomorskie,Wyższa Szkoła Zarządzania Środowiskiem w Tucholi,College of Environmental Management in Tuchola,Private,https://www.wszs.tuchola.pl/
