Id,Region,Name,Name_EN,Category,Url
198,mazowieckie,Warszawska Uczelnia Medyczna im. Tadeusza Koźluka,Tadeusz Koźluk Medical University in Warsaw,Private,https://wumed.edu.pl/
199,mazowieckie,Akademia Finansów i Biznesu Vistula,Vistula University,Private,https://www.vistula.edu.pl/
200,mazowieckie,Uczelnia Techniczno-Handlowa im. Heleny Chodkowskiej,Helena Chodkowska Technical and Commercial University,Private,https://www.uth.edu.pl/
201,mazowieckie,Warszawska Szkoła Zarządzania - Szkoła Wyższa w Warszawie,Warsaw School of Management - Higher School in Warsaw,Private,https://www.wsz-sw.edu.pl/
202,mazowieckie,Szkoła Wyższa im. Pawła Włodkowica w Płocku,Paweł Włodkowic University in Płock,Private,https://www.wlodkowic.pl/
203,mazowieckie,Akademia Leona Koźmińskiego w Warszawie,Kozminsky University,Private,https://www.kozminski.edu.pl/pl
204,mazowieckie,Uczelnia Korczaka - Akademia Nauk Stosowanych,Korczak University - Academy of Applied Sciences,Private,https://uczelniakorczaka.pl/
205,mazowieckie,Uczelnia Łazarskiego w Warszawie,Lazarski University,Private,https://rekrutacja.lazarski.pl/
206,mazowieckie,Szkoła Wyższa im. Bogdana Jańskiego w Warszawie,Bogdan Jański University in Warsaw,Private,https://janski.edu.pl/
207,mazowieckie,Prywatna Wyższa Szkoła Ochrony Środowiska w Radomiu,Private University of Environmental Protection in Radom,Private,http://www.pwsos.pl/
208,mazowieckie,Wyższa Szkoła Administracji Publicznej w Ostrołęce,Higher School of Public Administration in Ostrołęka,Private,https://wsap.com.pl/
209,mazowieckie,Menedżerska Akademia Nauk Stosowanych w Warszawie,Managerial Academy of Applied Sciences in Warsaw,Private,https://mans.org.pl/
210,mazowieckie,Wyższa Szkoła Ekologii i Zarządzania w Warszawie,University of Ecology and Management in Warsaw,Private,https://wseiz.pl/
211,mazowieckie,Radomska Szkoła Wyższa,Radom University,Private,http://www.rsw.edu.pl/
212,mazowieckie,Szkoła Główna Turystyki i Hotelarstwa Vistula,Vistula School of Tourism and Hospitality Management,Private,https://www.vistulahospitality.edu.pl/
213,mazowieckie,Wyższa Szkoła Informatyki Stosowanej i Zarządzania w Warszawie,Warsaw School of Information Technology,Private,https://www.wit.edu.pl/
214,mazowieckie,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,SWPS University of Social Sciences and Humanities,Private,https://swps.pl/
215,mazowieckie,Uczelnia Medyczna im. Marii Skłodowskiej - Curie w Warszawie,Maria Skłodowska-Curie Medical University in Warsaw,Private,https://uczelniamedyczna.com.pl/
216,mazowieckie,Wyższa Szkoła Stosunków Międzynarodowych i Amerykanistyki w Warszawie,College of International and American Studies in Warsaw,Private,https://wssmia.edu.pl/
217,mazowieckie,Collegium Civitas w Warszawie,Collegium Civitas in Warsaw,Private,https://civitas.edu.pl/pl/
218,mazowieckie,Europejska Wyższa Szkoła Prawa i Administracji w Warszawie,European Higher School of Law and Administration in Warsaw,Private,https://ewspa.edu.pl/
219,mazowieckie,Akademia Handlowa Nauk Stosowanych w Radomiu,Business Academy of Applied Sciences in Radom,Private,https://ahns.pl/
220,mazowieckie,Wyższa Szkoła Biznesu i Zarządzania z siedzibą w Ciechanowie,Business and Management University in Ciechanów,Private,https://wsbiz.edu.pl/
221,mazowieckie,Wyższa Szkoła Nauk Prawnych i Administracji im. Leona Petrażyckiego z siedzibą w Wołominie,Leon Petrażycki University of Legal and Administrative Sciences in Wołomin,Private,https://pwsz.net/
222,mazowieckie,Akademia Nauk Stosowanych Mazovia,The State Academy of Applied Sciences Mazovia,Private,https://www.mazovia.edu.pl/
223,mazowieckie,Wyższa Szkoła Kultury Fizycznej i Turystyki im. Haliny Konopackiej w Pruszkowie,Halina Konopacka University of Physical Culture and Tourism in Pruszków,Private,https://www.wskfit.pl/
224,mazowieckie,Lingwistyczna Szkoła Wyższa w Warszawie,Linguistic Higher School in Warsaw,Private,https://lingwistyka.edu.pl/
225,mazowieckie,Warszawska Wyższa Szkoła Informatyki w Warszawie,Warsaw Higher School of Computer Science in Warsaw,Private,https://wwsi.edu.pl/
226,mazowieckie,Wszechnica Polska Akademia Nauk Stosowanych w Warszawie,Wszechnica - The State Academy of Applied Sciences in Warsaw,Private,https://wszechnicapolska.edu.pl/
227,mazowieckie,"Wyższa Szkoła Promocji, Mediów i Show Businessu z siedzibą w Warszawie","Higher School of Promotion, Media, and Show Business in Warsaw",Private,https://wsp.pl/
228,mazowieckie,Uczelnia Łukaszewski,Łukaszewski University,Private,https://www.ulu.edu.pl/
229,mazowieckie,Collegium Verum,Collegium Verum,Private,https://collegiumverum.pl/
230,mazowieckie,Warszawska Wyższa Szkoła Biznesu z siedzibą w Warszawie,Warsaw Higher School of Business in Warsaw,Private,https://wwsb.edu.pl/
231,mazowieckie,Europejska Wyższa Szkoła Biznesu w Warszawie,European Higher School of Business in Warsaw,Private,https://www.euob.eu/uczelnia/
232,mazowieckie,Wyższa Szkoła Nauk Pedagogicznych,Higher School of Pedagogy,Private,https://wsnp.edu.pl/
233,mazowieckie,Wyższa Inżynierska Szkoła Bezpieczeństwa i Organizacji Pracy w Radomiu,Higher Engineering School of Safety and Work Organization in Radom,Private,https://wisbiop.pl/
234,mazowieckie,Warszawska Wyższa Szkoła Humanistyczna im. Bolesława Prusa,Warsaw Higher School of Humanities named after Bolesław Prus,Private,https://wwsh.edu.pl/
235,mazowieckie,Wyższa Szkoła - Edukacja w Sporcie w Warszawie,Higher School of Education in Sports in Warsaw,Private,https://www.ews.edu.pl/
236,mazowieckie,Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie,Alcide De Gasperi Euroregional Economy Higher School in Józefów,Private,https://wsge.edu.pl/
237,mazowieckie,Akademia Ekonomiczno-Humanistyczna w Warszawie,University of Economics and Human Sciences in Warsaw,Private,https://vizja.pl/
238,mazowieckie,Wyższa Szkoła Inżynierii i Zdrowia w Warszawie,Higher School of Engineering and Health in Warsaw,Private,https://wsiiz.pl/
239,mazowieckie,Wyższa Szkoła Turystyki i Języków Obcych w Warszawie,Higher School of Tourism and Foreign Languages in Warsaw,Private,https://wstijo.edu.pl/
240,mazowieckie,Warszawska Wyższa Szkoła Nauk Społecznych im. Rafała Lemkina,Warsaw Higher School of Social Sciences named after Rafał Lemkin,Private,https://fuaw.pl/gdzie-jestesmy/
241,mazowieckie,Mazowiecka Uczelnia Medyczna w Warszawie,Mazovian Medical University in Warsaw,Private,https://mum.edu.pl/
242,mazowieckie,Uczelnia Lingwistyczno-Techniczna w Przasnyszu,Linguistic and Technical University in Przasnysz,Private,https://ult.edu.pl/
243,mazowieckie,Wyższa Szkoła Bankowa w Warszawie,WSB University in Warsaw,Private,https://www.wsb.pl/warszawa/
244,mazowieckie,"Wyższa Szkoła Biznesu, Mediów i Reklamy","Higher School of Business, Media, and Advertising",Private,https://www.akademiareklamy.edu.pl/
245,mazowieckie,Wyższa Szkoła Bezpieczeństwa i Ochrony im. Marszałka Józefa Piłsudskiego z siedzibą w Warszawie,Marshal Józef Piłsudski Higher School of Security and Protection in Warsaw,Private,https://wsbio.waw.pl/
246,mazowieckie,Wyższa Szkoła Współpracy Międzynarodowej i Regionalnej im. Zygmunta Glogera z siedzibą w Wołominie,Zygmunt Gloger Higher School of International and Regional Cooperation in Wołomin,Private,https://fuaw.pl/
247,mazowieckie,Wyższa Szkoła Rehabilitacji w Warszawie,Higher School of Rehabilitation in Warsaw,Private,https://www.wsr.edu.pl/
248,mazowieckie,Europejska Uczelnia w Warszawie,European University in Warsaw,Private,http://www.eu.edu.pl/
249,mazowieckie,Europejska Uczelnia Społeczno-Techniczna im. Sługi Bożego Roberta Schumana,European Social and Technical University named after Servant of God Robert Schuman,Private,https://www.eust.pl/
250,mazowieckie,Podkowiańska Wyższa Szkoła Medyczna im. Zofii i Jonasza Łyko w Podkowie Leśnej,Zofia and Jonasz Łyko Podkowian Medical Higher School in Podkowa Leśna,Private,http://pwsm-podkowa.edu.pl/
251,mazowieckie,Wyższa Szkoła Artystyczna w Warszawie,Higher School of Art in Warsaw,Private,https://wsa.art.pl/
252,mazowieckie,Uczelnia Społeczno-Medyczna w Warszawie,Social and Medical University in Warsaw,Private,https://usmbm.edu.pl/
253,mazowieckie,Collegium Masoviense - Wyższa Szkoła Nauk o Zdrowiu w Żyrardowie,Masoviense Collegium - Higher School of Health Sciences in Żyrardów,Private,http://www.cm.edu.pl/
254,mazowieckie,Pedagogium Wyższa Szkoła Nauk Społecznych w Warszawie,Pedagogium Higher School of Social Sciences in Warsaw,Private,https://pedagogium.pl/
255,mazowieckie,Warszawska Szkoła Filmowa z siedzibą w Warszawie,Warsaw Film School in Warsaw,Private,https://szkolafilmowa.pl/
256,mazowieckie,VIAMODA Szkoła Wyższa z siedzibą w Warszawie,VIAMODA Higher School in Warsaw,Private,https://www.viamoda.edu.pl/
257,mazowieckie,Szkoła Główna Krajowa z siedzibą w Warszawie,Main National School in Warsaw,Private,https://sgk.edu.pl/
258,mazowieckie,Uczelnia Collegium Intermarium,Collegium Intermarium University,Private,https://collegiumintermarium.org/
259,opolskie,Akademia Nauk Stosowanych - Wyższa Szkoła Zarządzania i Administracji w Opolu,Academy of Applied Sciences - Higher School of Management and Administration in Opole,Private,https://www.wszia.opole.pl/
260,opolskie,Wyższa Szkoła Humanistyczno-Ekonomiczna w Brzegu,Higher School of Humanities and Economics in Brzeg,Private,https://wshe.edu.pl/
261,podkarpackie,Wyższa Szkoła Prawa i Administracji Rzeszowska Szkoła Wyższa z siedzibą w Rzeszowie,WSPiA University of Rzeszów,Private,https://wspia.eu/
262,podkarpackie,Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie,University of Information Technology and Management in Rzeszow,Private,https://wsiz.edu.pl/
263,podkarpackie,Wyższa Szkoła Ekonomiczna w Stalowej Woli,WSE Stalowa Wola,Private,http://www.wse.stalowawola.pl/
264,podkarpackie,Wyższa Szkoła Gospodarki i Zarządzania,Higher School of Economics and Management,Private,http://wsgiz.mielec.pl/
265,podkarpackie,Podkarpacka Szkoła Wyższa im. bł. ks. Władysława Findysza w Jaśle,Blessed Władysław Findysz Podkarpacka Higher School in Jasło,Private,https://www.psw.jaslo.pl/
266,podkarpackie,Wyższa Szkoła Informatyki i Zdrowia,University of Information Technology and Health,Private,http://www.collegeinfo.eu/
267,podkarpackie,Wyższa Szkoła Inżynieryjno-Ekonomiczna w Rzeszowie,Rzeszów Higher School of Engineering and Economics,Private,https://wsie.edu.pl/
268,podkarpackie,Wyższa Szkoła Społeczno-Gospodarcza,Higher School of Social and Economic Sciences,Private,http://www.wssgprzeworsk.edu.pl/
269,podlaskie,Wyższa Szkoła Finansów i Zarządzania w Białymstoku,The University of Finance and Management in Bialystok,Private,https://wsfiz.edu.pl/
270,podlaskie,Wyższa Szkoła Ekonomiczna w Białymstoku,The Bialystok School of Economics,Private,https://www.wse.edu.pl/
271,podlaskie,Niepaństwowa Wyższa Szkoła Pedagogiczna w Białymstoku,The Non-State Higher School of Pedagogy in Białystok,Private,http://www.nwsp.bialystok.pl/
272,podlaskie,Międzynarodowa Akademia Nauk Stosowanych w Łomży,The State Academy of Applied Sciences in Łomża,Private,https://mans.edu.pl/
273,podlaskie,Uczelnia Jańskiego z siedzibą w Łomży,University Jański based in Lomza,Private,https://janski.edu.pl/lomza/
274,podlaskie,Nadbużańska Szkoła Wyższa im. Marka J. Karpia w Siemiatyczach,Nadbużańska Higher School named after Marek J. Karpi in Siemiatycze,Private,https://nsw.siemiatycze.org/
275,podlaskie,Wyższa Szkoła Medyczna z siedzibą w Białymstoku,School of Medical Science in Białystok,Private,https://wsmed.edu.pl/
276,podlaskie,Wyższa Szkoła Zawodowa Ochrony Zdrowia TWP w Łomży z siedzibą w Łomży,Vocational Higher School of Health Protection TWP in Łomża with its seat in Łomża,Private,https://wszoz.edu.pl/
277,pomorskie,Wyższa Szkoła Administracji i Biznesu im. Eugeniusza Kwiatkowskiego w Gdyni,University of Business and Administration of Eugeniusz Kwiatkowski in Gdynia,Private,https://wsaib.pl/
278,pomorskie,Wyższa Szkoła Turystyki i Hotelarstwa w Gdańsku,Academy of Tourism and Hotel Management in Gdansk,Private,https://wstih.pl/
279,pomorskie,Wyższa Szkoła Zdrowia w Gdańsku,Gdansk College of Health,Private,https://www.wsz.pl/
280,pomorskie,Powiślańska Szkoła Wyższa,Powiślańska Higher School,Private,https://psw.kwidzyn.edu.pl/
281,pomorskie,Sopocka Akademia Nauk Stosowanych,The State Academy of Applied Sciences in Sopot,Private,https://www.ssw-sopot.pl/
282,pomorskie,Pomorska Szkoła Wyższa w Starogardzie Gdańskim,Pomorska Higher School in Starogard Gdański,Private,https://psw.stg.pl/
283,pomorskie,Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku z siedzibą w Gdańsku,Social and Economic Higher School in Gdańsk with its seat in Gdańsk,Private,https://www.wsse.edu.pl/
284,pomorskie,Gdańska Szkoła Wyższa z siedzibą w Gdańsku,Gdańsk School of Higher Education,Private,https://gsw.gda.pl/
285,pomorskie,Gdańska Wyższa Szkoła Humanistyczna,Gdansk Higher School of Humanities,Private,http://www.gwsh.gda.pl/
286,pomorskie,Wyższa Szkoła Inżynierii Gospodarki w Słupsku,Higher School of Economic Engineering in Słupsk,Private,https://wsig-slupsk.pl/pl
287,pomorskie,Kaszubsko-Pomorska Szkoła Wyższa w Wejherowie,Kaszubia-Pomerania Higher School in Wejherowo,Private,https://kpsw.pl/
288,pomorskie,Wyższa Szkoła Komunikacji Społecznej w Gdyni,Higher School of Social Communication in Gdynia,Private,https://wsks.pl/
289,pomorskie,"Powszechna Wyższa Szkoła Humanistyczna ""Pomerania"" w Chojnicach","General Higher School of Humanities ""Pomerania"" in Chojnice",Private,http://www.pomeraniachojnice.edu.pl/
290,pomorskie,Ateneum – Akademia Nauk Stosowanych,Ateneum-University in Gdansk,Private,https://www.ateneum.edu.pl/
291,pomorskie,Wyższa Szkoła Bankowa z siedzibą w Gdańsku,WSB Merito University in Gdansk,Private,https://www.wsb.pl/gdansk/
292,śląskie,Akademia Polonijna w Częstochowie,Polonia University in Czestochowa,Private,https://ap.edu.pl/
293,śląskie,Akademia Górnośląska im. Wojciecha Korfantego w Katowicach,Katowice Business University,Private,https://www.gwsh.pl/
294,śląskie,Polsko-Japońska Akademia Technik Komputerowych,Polish-Japanese Academy of Information Technology,Private,https://pja.edu.pl/
295,śląskie,Akademia WSB,WSB University,Private,https://wsb.edu.pl/
296,śląskie,Wyższa Szkoła Finansów i Prawa w Bielsku-Białej,Higher School of Finance and Law in Bielsko-Biała,Private,https://wsfip.edu.pl/
297,śląskie,Wyższa Szkoła Zarządzania w Częstochowie,Higher School of Management in Częstochowa,Private,https://www.wsz.edu.pl/
298,śląskie,Bielska Wyższa Szkoła im. Józefa Tyszkiewicza w Bielsku-Białej,Józef Tyszkiewicz Bielska Higher School in Bielsko-Biała,Private,https://tyszkiewicz.edu.pl/
299,śląskie,Wyższa Szkoła Informatyki i Zarządzania w Bielsku-Białej,Higher School of Informatics and Management in Bielsko-Biała,Private,https://www.wsi.edu.pl/
300,śląskie,Wyższa Szkoła Lingwistyczna w Częstochowie,WSL in Częstochowa,Private,https://wsl.edu.pl/
301,śląskie,Wyższa Szkoła Humanitas w Sosnowcu,Humanitas University in Sosnowiec,Private,https://www.humanitas.edu.pl/
302,śląskie,Wyższa Szkoła Administracji w Bielsku-Białej,Higher School of Administration in Bielsko-Biała,Private,https://wsa.bielsko.pl/
303,śląskie,Wyższa Szkoła Ekonomiczno-Humanistyczna w Bielsku-Białej,University of Economics and Humanities in Bielsko-Biała,Private,https://wseh.pl/
304,śląskie,Górnośląska Wyższa Szkoła Przedsiębiorczości im. Karola Goduli w Chorzowie,Karol Godula Upper Silesian School of Entrepreneurship in Chorzów,Private,https://www.gwsp.edu.pl/
305,śląskie,Wyższa Szkoła Nauk Stosowanych w Rudzie Śląskiej,Higher School of Applied Sciences in Ruda Śląska,Private,https://www.wsnsrs.edu.pl/
306,śląskie,Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach,University of Occupational Safety Management in Katowice (WSZOP),Private,https://wszop.edu.pl/
307,śląskie,Wyższa Szkoła Techniczna w Katowicach,Academy of Silesia,Private,https://www.wst.com.pl/
308,śląskie,Wyższa Szkoła Planowania Strategicznego w Dąbrowie Górniczej,Higher School of Strategic Planning in Dąbrowa Górnicza,Private,https://wsps.pl/
309,śląskie,Wyższa Szkoła Technologii Informatycznych w Katowicach,Katowice Institute of Information Technologies,Private,https://wsti.pl/pl/
310,śląskie,Wyższa Szkoła Medyczna w Sosnowcu,Medical University in Sosnowiec,Private,https://wsmsosnowiec.pl/
311,śląskie,Śląska Wyższa Szkoła Medyczna w Katowicach,Silesian College of Medicine in Katowice,Private,https://www.swsm.pl/
312,świętokrzyskie,Wszechnica Świętokrzyska w Kielcach,Holy Cross University in Kielce,Private,https://www.ws.edu.pl/
313,świętokrzyskie,Wyższa Szkoła Humanistyczno-Przyrodnicza Studium Generale Sandomiriense w Sandomierzu,Higher School of Humanities and Natural Sciences Studium Generale Sandomiriense in Sandomierz,Private,https://wshp-sandomierz.eu/
314,świętokrzyskie,Akademia Nauk Stosowanych im. Józefa Gołuchowskiego,The Józef Goluchowski University of Applied Sciences,Private,https://www.wsbip.edu.pl/
315,świętokrzyskie,Akademia Nauk Stosowanych im. prof. Edwarda Lipińskiego w Kielcach,University of Applied Sciences in Kielce,Private,https://www.wseip.edu.pl/
316,świętokrzyskie,Wyższa Szkoła Administracji Publicznej w Kielcach,Higher School of Public Administration in Kielce,Private,https://wsap-kielce.edu.pl/
317,świętokrzyskie,Staropolska Akademia Nauk Stosowanych w Kielcach,The Old Polish University,Private,https://stsw.edu.pl/
318,świętokrzyskie,Wyższa Szkoła Technik Komputerowych i Telekomunikacji w Kielcach,Higher School of Computer Technology and Telecommunications in Kielce,Private,https://wstkt.pl/
319,świętokrzyskie,Świętokrzyska Szkoła Wyższa w Kielcach,WSE Kielce,Private,https://sswkielce.edu.pl/
320,świętokrzyskie,Wyższa Szkoła Umiejętności Zawodowych w Pińczowie,Higher School of Vocational Skills in Pińczów,Private,https://www.wsuz.pl/
321,warmińsko-mazurskie,Olsztyńska Szkoła Wyższa,Olsztyn University,Private,https://www.wsiie.olsztyn.pl/
322,warmińsko-mazurskie,Akademia Medycznych i Społecznych Nauk Stosowanych,The Academy of Medical and Social Applied Sciences,Private,https://amisns.edu.pl/
323,wielkopolskie,Wyższa Szkoła Zarządzania i Bankowości w Poznaniu,The School of Management and Banking in Poznań,Private,https://www.wszib.poznan.pl/
324,wielkopolskie,Wyższa Szkoła Hotelarstwa i Gastronomii w Poznaniu w restrukturyzacji,The Academy of Hotel Management and Catering Industry,Private,https://www.wshig.pl/
325,wielkopolskie,Wyższa Szkoła Bankowa w Poznaniu,WSB University in Poznań,Private,https://www.wsb.pl/poznan/
326,wielkopolskie,Collegium Da Vinci z siedzibą w Poznaniu,Collegium Da Vinci,Private,https://cdv.pl/
327,wielkopolskie,WSHIU Akademia Nauk Stosowanych,WSHIU University,Private,https://wshiu.pl/
328,wielkopolskie,Wyższa Szkoła Umiejętności Społecznych im. prof. Michała Iwaszkiewicza,Michal Iwaszkiewicz University of Social Sciences ,Private,https://wsus.bip.gov.pl/
329,wielkopolskie,Wyższa Szkoła Komunikacji i Zarządzania w Poznaniu,University of Communications and Management Poznan,Private,https://www.wskiz.edu/
330,wielkopolskie,"Wyższa Szkoła Zdrowia, Urody i Edukacji w Poznaniu","Higher School of Health, Beauty, and Education in Poznań",Private,https://wszuie.pl/
331,wielkopolskie,Wyższa Szkoła Języków Obcych im. Samuela Bogumiła Lindego z siedzibą w Poznaniu,WSJO Poznań,Private,https://www.wsjo.pl/pl/
332,wielkopolskie,Gnieźnieńska Szkoła Wyższa Milenium z siedzibą w Gnieźnie,Humanistic-Manager Higher School Milenium in Gniezno,Private,https://milenium.edu.pl/
333,wielkopolskie,Akademia Nauk Stosowanych im. Księcia Mieszka I w Poznaniu,Mieszko I School of Applied Sciences in Poznań,Private,https://ansm.pl/
334,wielkopolskie,Wyższa Szkoła Edukacji i Terapii im. prof. Kazimiery Milanowskiej z siedzibą w Poznaniu,Kazimiera Milanowska College of Education and Therapy,Private,https://wseit.edu.pl/
335,wielkopolskie,Wyższa Szkoła Bezpieczeństwa w Poznaniu,The University of Security in Poznan,Private,https://www.wsb.net.pl/
336,wielkopolskie,Wyższa Szkoła Logistyki w Poznaniu,Poznan School of Logistics,Private,https://wsl.com.pl/pl/
337,wielkopolskie,Wyższa Szkoła Humanistyczna im. Króla Stanisława Leszczyńskiego w Lesznie,Humanistic Higher School King Stanislas Leszczynski in Leszno,Private,https://www.wshleszno.pl/
338,wielkopolskie,Wielkopolska Akademia Społeczno - Ekonomiczna w Środzie Wielkopolskiej - Akademia Nauk Stosowanych,WASE in Środa Wielkopolska,Private,https://www.wwsse.pl/
339,wielkopolskie,Wyższa Szkoła Pedagogiczno-Techniczna w Koninie,Pedagogical and Technical Higher School in Konin,Private,https://www.wspt.pl/
340,wielkopolskie,Wyższa Szkoła Kadr Menedżerskich,Higher School of Management Personnel,Private,https://www.wskm.edu.pl/
341,wielkopolskie,Wyższa Szkoła Uni-Terra z siedzibą w Poznaniu,Uni-Terra University in Poznań,Private,https://wsuniterra.pl/
342,zachodniopomorskie,Zachodniopomorska Szkoła Biznesu w Szczecinie,The West Pomeranian Business School – University of Applied Sciences Szczecin,Private,https://www.zpsb.pl/
343,zachodniopomorskie,Wyższa Szkoła Administracji Publicznej w Szczecinie,WSAP in Szczecin,Private,https://wsap.szczecin.pl/
344,zachodniopomorskie,Akademia Nauk Stosowanych Towarzystwa Wiedzy Powszechnej w Szczecinie,The State Academy of Applied Sciences in Szczecin,Private,https://akademiatwp.pl/
345,zachodniopomorskie,Wyższa Szkoła Integracji Europejskiej w Szczecinie,Academy of European Integration in Szczecin,Private,https://wsie.pl/
346,zachodniopomorskie,Collegium Balticum - Akademia Nauk Stosowanych z siedzibą w Szczecinie,Collegium Balticum,Private,https://www.cb.szczecin.pl/
347,zachodniopomorskie,Koszalińska Wyższa Szkoła Nauk Humanistycznych w Koszalinie,Koszalin University of Humanities in Koszalin,Private,http://kwsnh.pl/
